"date","raw_name","series_id","country","arrivals","year","month","period","unit","source","indexed_arrivals","zscore_arrivals"
2017-01-01,"Visitor Arrivals: Australia","australia","Australia",115930,2017,1,"pre_covid","Person","Singapore Tourism Board",100,1.07332749970264
2017-02-01,"Visitor Arrivals: Australia","australia","Australia",71416,2017,2,"pre_covid","Person","Singapore Tourism Board",61.6026912792202,0.0157731933745857
2017-03-01,"Visitor Arrivals: Australia","australia","Australia",85040,2017,3,"pre_covid","Person","Singapore Tourism Board",73.3546105408436,0.33944933727119
2017-04-01,"Visitor Arrivals: Australia","australia","Australia",93927,2017,4,"pre_covid","Person","Singapore Tourism Board",81.0204433709997,0.550584825439799
2017-05-01,"Visitor Arrivals: Australia","australia","Australia",71970,2017,5,"pre_covid","Person","Singapore Tourism Board",62.0805658587078,0.0289350095606338
2017-06-01,"Visitor Arrivals: Australia","australia","Australia",84840,2017,6,"pre_covid","Person","Singapore Tourism Board",73.1820926421116,0.334697779081281
2017-07-01,"Visitor Arrivals: Australia","australia","Australia",104873,2017,7,"pre_covid","Person","Singapore Tourism Board",90.4623479686017,0.810637605173522
2017-08-01,"Visitor Arrivals: Australia","australia","Australia",75171,2017,8,"pre_covid","Person","Singapore Tourism Board",64.8417148279134,0.104983698390128
2017-09-01,"Visitor Arrivals: Australia","australia","Australia",100987,2017,9,"pre_covid","Person","Singapore Tourism Board",87.1103251962391,0.718314829543589
2017-10-01,"Visitor Arrivals: Australia","australia","Australia",90940,2017,10,"pre_covid","Person","Singapore Tourism Board",78.4438885534374,0.479620303873508
2017-11-01,"Visitor Arrivals: Australia","australia","Australia",81822,2017,11,"pre_covid","Person","Singapore Tourism Board",70.5787975502458,0.262996765995554
2017-12-01,"Visitor Arrivals: Australia","australia","Australia",105085,2017,12,"pre_covid","Person","Singapore Tourism Board",90.6452169412577,0.815674256854825
2018-01-01,"Visitor Arrivals: Australia","australia","Australia",114846,2018,1,"pre_covid","Person","Singapore Tourism Board",99.0649529888726,1.04757405431334
2018-02-01,"Visitor Arrivals: Australia","australia","Australia",63229,2018,2,"pre_covid","Person","Singapore Tourism Board",54.5406710946261,-0.178731841129341
2018-03-01,"Visitor Arrivals: Australia","australia","Australia",87152,2018,3,"pre_covid","Person","Singapore Tourism Board",75.1763995514535,0.38962579175663
2018-04-01,"Visitor Arrivals: Australia","australia","Australia",99046,2018,4,"pre_covid","Person","Singapore Tourism Board",85.4360389890451,0.672200957310521
2018-05-01,"Visitor Arrivals: Australia","australia","Australia",78210,2018,5,"pre_covid","Person","Singapore Tourism Board",67.463124299146,0.177183625085796
2018-06-01,"Visitor Arrivals: Australia","australia","Australia",90665,2018,6,"pre_covid","Person","Singapore Tourism Board",78.2066764426809,0.473086911362383
2018-07-01,"Visitor Arrivals: Australia","australia","Australia",108107,2018,7,"pre_covid","Person","Singapore Tourism Board",93.2519623910981,0.887470301104351
2018-08-01,"Visitor Arrivals: Australia","australia","Australia",83185,2018,8,"pre_covid","Person","Singapore Tourism Board",71.7545070301044,0.295378635059784
2018-09-01,"Visitor Arrivals: Australia","australia","Australia",107933,2018,9,"pre_covid","Person","Singapore Tourism Board",93.1018718192012,0.88333644547913
2018-10-01,"Visitor Arrivals: Australia","australia","Australia",95096,2018,10,"pre_covid","Person","Singapore Tourism Board",82.0288104890882,0.578357683059818
2018-11-01,"Visitor Arrivals: Australia","australia","Australia",74827,2018,11,"pre_covid","Person","Singapore Tourism Board",64.5449840420944,0.0968110183034846
2018-12-01,"Visitor Arrivals: Australia","australia","Australia",104928,2018,12,"pre_covid","Person","Singapore Tourism Board",90.509790390753,0.811944283675747
2019-01-01,"Visitor Arrivals: Australia","australia","Australia",122672,2019,1,"pre_covid","Person","Singapore Tourism Board",105.815578366256,1.23350252628448
2019-02-01,"Visitor Arrivals: Australia","australia","Australia",66199,2019,2,"pre_covid","Person","Singapore Tourism Board",57.1025618907962,-0.108171202009192
2019-03-01,"Visitor Arrivals: Australia","australia","Australia",73841,2019,3,"pre_covid","Person","Singapore Tourism Board",63.6944708013456,0.073385836427233
2019-04-01,"Visitor Arrivals: Australia","australia","Australia",107503,2019,4,"pre_covid","Person","Singapore Tourism Board",92.7309583369275,0.873120595370826
2019-05-01,"Visitor Arrivals: Australia","australia","Australia",80476,2019,5,"pre_covid","Person","Singapore Tourism Board",69.4177520917795,0.231018779377466
2019-06-01,"Visitor Arrivals: Australia","australia","Australia",87793,2019,6,"pre_covid","Person","Singapore Tourism Board",75.7293194168895,0.404854535755289
2019-07-01,"Visitor Arrivals: Australia","australia","Australia",107383,2019,7,"pre_covid","Person","Singapore Tourism Board",92.6274475976883,0.87026966045688
2019-08-01,"Visitor Arrivals: Australia","australia","Australia",84023,2019,8,"pre_covid","Person","Singapore Tourism Board",72.4773570257914,0.315287663875503
2019-09-01,"Visitor Arrivals: Australia","australia","Australia",109506,2019,9,"pre_covid","Person","Singapore Tourism Board",94.4587250927284,0.920707450642765
2019-10-01,"Visitor Arrivals: Australia","australia","Australia",97092,2019,10,"pre_covid","Person","Singapore Tourism Board",83.7505391184335,0.62577823379511
2019-11-01,"Visitor Arrivals: Australia","australia","Australia",89052,2019,11,"pre_covid","Person","Singapore Tourism Board",76.8153195894074,0.434765594560766
2019-12-01,"Visitor Arrivals: Australia","australia","Australia",117796,2019,12,"pre_covid","Person","Singapore Tourism Board",101.609591995169,1.1176595376145
2020-01-01,"Visitor Arrivals: Australia","australia","Australia",130626,2020,1,"pre_covid","Person","Singapore Tourism Board",112.676615198827,1.42247199549716
2020-02-01,"Visitor Arrivals: Australia","australia","Australia",54791,2020,2,"covid_shock","Person","Singapore Tourism Board",47.2621409471233,-0.379200081161604
2020-03-01,"Visitor Arrivals: Australia","australia","Australia",18736,2020,3,"covid_shock","Person","Singapore Tourism Board",16.1614767532131,-1.23578723384746
2020-04-01,"Visitor Arrivals: Australia","australia","Australia",7,2020,4,"covid_shock","Person","Singapore Tourism Board",0.00603812645561977,-1.68074690054149
2020-05-01,"Visitor Arrivals: Australia","australia","Australia",16,2020,5,"covid_shock","Person","Singapore Tourism Board",0.0138014318985595,-1.68053308042295
2020-06-01,"Visitor Arrivals: Australia","australia","Australia",63,2020,6,"covid_shock","Person","Singapore Tourism Board",0.0543431381005779,-1.67941646424832
2020-07-01,"Visitor Arrivals: Australia","australia","Australia",131,2020,7,"covid_shock","Person","Singapore Tourism Board",0.112999223669456,-1.67780093446375
2020-08-01,"Visitor Arrivals: Australia","australia","Australia",166,2020,8,"covid_shock","Person","Singapore Tourism Board",0.143189855947555,-1.67696941178051
2020-09-01,"Visitor Arrivals: Australia","australia","Australia",155,2020,9,"covid_shock","Person","Singapore Tourism Board",0.133701371517295,-1.67723074748096
2020-10-01,"Visitor Arrivals: Australia","australia","Australia",223,2020,10,"covid_shock","Person","Singapore Tourism Board",0.192357457086173,-1.67561521769639
2020-11-01,"Visitor Arrivals: Australia","australia","Australia",438,2020,11,"covid_shock","Person","Singapore Tourism Board",0.377814198223066,-1.67050729264224
2020-12-01,"Visitor Arrivals: Australia","australia","Australia",887,2020,12,"covid_shock","Person","Singapore Tourism Board",0.765116880876391,-1.65984004450589
2021-01-01,"Visitor Arrivals: Australia","australia","Australia",579,2021,1,"covid_shock","Person","Singapore Tourism Board",0.499439316829121,-1.66715744411835
2021-02-01,"Visitor Arrivals: Australia","australia","Australia",234,2021,2,"covid_shock","Person","Singapore Tourism Board",0.201845941516432,-1.67535388199595
2021-03-01,"Visitor Arrivals: Australia","australia","Australia",274,2021,3,"covid_shock","Person","Singapore Tourism Board",0.236349521262831,-1.67440357035796
2021-04-01,"Visitor Arrivals: Australia","australia","Australia",242,2021,4,"covid_shock","Person","Singapore Tourism Board",0.208746657465712,-1.67516381966835
2021-05-01,"Visitor Arrivals: Australia","australia","Australia",250,2021,5,"covid_shock","Person","Singapore Tourism Board",0.215647373414992,-1.67497375734075
2021-06-01,"Visitor Arrivals: Australia","australia","Australia",193,2021,6,"covid_shock","Person","Singapore Tourism Board",0.166479772276374,-1.67632795142488
2021-07-01,"Visitor Arrivals: Australia","australia","Australia",289,2021,7,"covid_shock","Person","Singapore Tourism Board",0.249288363667731,-1.67404720349372
2021-08-01,"Visitor Arrivals: Australia","australia","Australia",301,2021,8,"covid_shock","Person","Singapore Tourism Board",0.25963943759165,-1.67376211000233
2021-09-01,"Visitor Arrivals: Australia","australia","Australia",278,2021,9,"covid_shock","Person","Singapore Tourism Board",0.239799879237471,-1.67430853919417
2021-10-01,"Visitor Arrivals: Australia","australia","Australia",263,2021,10,"covid_shock","Person","Singapore Tourism Board",0.226861036832571,-1.67466490605841
2021-11-01,"Visitor Arrivals: Australia","australia","Australia",1624,2021,11,"covid_shock","Person","Singapore Tourism Board",1.40084533770379,-1.64233055257608
2021-12-01,"Visitor Arrivals: Australia","australia","Australia",5525,2021,12,"covid_shock","Person","Singapore Tourism Board",4.76580695247132,-1.5496514100819
2022-01-01,"Visitor Arrivals: Australia","australia","Australia",3759,2022,1,"recovery","Person","Singapore Tourism Board",3.24247390666782,-1.5916076688988
2022-02-01,"Visitor Arrivals: Australia","australia","Australia",4546,2022,2,"recovery","Person","Singapore Tourism Board",3.92133183817821,-1.57291028742151
2022-03-01,"Visitor Arrivals: Australia","australia","Australia",7883,2022,3,"recovery","Person","Singapore Tourism Board",6.79979297852152,-1.49363053902287
2022-04-01,"Visitor Arrivals: Australia","australia","Australia",27380,2022,4,"recovery","Person","Singapore Tourism Board",23.6177003364099,-1.03042488887959
2022-05-01,"Visitor Arrivals: Australia","australia","Australia",31406,2022,5,"recovery","Person","Singapore Tourism Board",27.0904856378849,-0.93477602251672
2022-06-01,"Visitor Arrivals: Australia","australia","Australia",50412,2022,6,"recovery","Person","Singapore Tourism Board",43.4848615543863,-0.483235447729663
2022-07-01,"Visitor Arrivals: Australia","australia","Australia",68378,2022,7,"recovery","Person","Singapore Tourism Board",58.9821443974812,-0.0564029755301328
2022-08-01,"Visitor Arrivals: Australia","australia","Australia",56917,2022,8,"recovery","Person","Singapore Tourism Board",49.0960062106444,-0.328691017602871
2022-09-01,"Visitor Arrivals: Australia","australia","Australia",83070,2022,9,"recovery","Person","Singapore Tourism Board",71.6553092383335,0.292646489100586
2022-10-01,"Visitor Arrivals: Australia","australia","Australia",73728,2022,10,"recovery","Person","Singapore Tourism Board",63.5969981885621,0.0707012060499344
2022-11-01,"Visitor Arrivals: Australia","australia","Australia",69046,2022,11,"recovery","Person","Singapore Tourism Board",59.5583541792461,-0.0405327711758366
2022-12-01,"Visitor Arrivals: Australia","australia","Australia",89159,2022,12,"recovery","Person","Singapore Tourism Board",76.907616665229,0.437307678192367
2023-01-01,"Visitor Arrivals: Australia","australia","Australia",102888,2023,1,"recovery","Person","Singapore Tourism Board",88.7501078236867,0.763478390138674
2023-02-01,"Visitor Arrivals: Australia","australia","Australia",72385,2023,2,"recovery","Person","Singapore Tourism Board",62.4385404985767,0.0387944928046951
2023-03-01,"Visitor Arrivals: Australia","australia","Australia",74268,2023,3,"recovery","Person","Singapore Tourism Board",64.0627965151384,0.0835304131626888
2023-04-01,"Visitor Arrivals: Australia","australia","Australia",92937,2023,4,"recovery","Person","Singapore Tourism Board",80.1664797722764,0.527064612399749
2023-05-01,"Visitor Arrivals: Australia","australia","Australia",79700,2023,5,"recovery","Person","Singapore Tourism Board",68.7483826446994,0.212582733600619
2023-06-01,"Visitor Arrivals: Australia","australia","Australia",90770,2023,6,"recovery","Person","Singapore Tourism Board",78.2972483395152,0.475581479412085
2023-07-01,"Visitor Arrivals: Australia","australia","Australia",98408,2023,7,"recovery","Person","Singapore Tourism Board",84.8857068920901,0.657043486684712
2023-08-01,"Visitor Arrivals: Australia","australia","Australia",80605,2023,8,"recovery","Person","Singapore Tourism Board",69.5290261364617,0.234083534409957
2023-09-01,"Visitor Arrivals: Australia","australia","Australia",104497,2023,9,"recovery","Person","Singapore Tourism Board",90.1380143189856,0.801704675776493
2023-10-01,"Visitor Arrivals: Australia","australia","Australia",88033,2023,10,"recovery","Person","Singapore Tourism Board",75.9363408953679,0.410556405583179
2023-11-01,"Visitor Arrivals: Australia","australia","Australia",88201,2023,11,"recovery","Person","Singapore Tourism Board",76.0812559303028,0.414547714462703
2023-12-01,"Visitor Arrivals: Australia","australia","Australia",112197,2023,12,"recovery","Person","Singapore Tourism Board",96.7799534201673,0.984639666087991
2024-01-01,"Visitor Arrivals: Australia","australia","Australia",124075,2024,1,"recovery","Person","Singapore Tourism Board",107.02579142586,1.26683470698669
2024-02-01,"Visitor Arrivals: Australia","australia","Australia",79370,2024,2,"recovery","Person","Singapore Tourism Board",68.4637281117916,0.204742662587269
2024-03-01,"Visitor Arrivals: Australia","australia","Australia",90428,2024,3,"recovery","Person","Singapore Tourism Board",78.0022427326835,0.46745631490734
2024-04-01,"Visitor Arrivals: Australia","australia","Australia",96751,2024,4,"recovery","Person","Singapore Tourism Board",83.4563961010955,0.617676827081315
2024-05-01,"Visitor Arrivals: Australia","australia","Australia",79688,2024,5,"recovery","Person","Singapore Tourism Board",68.7380315707755,0.212297640109224
2024-06-01,"Visitor Arrivals: Australia","australia","Australia",88548,2024,6,"recovery","Person","Singapore Tourism Board",76.3805744846028,0.422791667922195
