"date","australia","bangladesh","brunei","canada","china","egypt","finland","france","germany","hong.kong.sar..china.","india","iran","ireland","israel","italy","japan","kuwait","malaysia","mauritius","myanmar","netherlands","new.zealand","pakistan","philippines","spain","switzerland","thailand","united.kingdom"
2017-01-01,115930,9712,5297,11225,316805,281,3929,12356,37068,34436,80062,1421,1706,1630,6231,53377,1154,84504,1142,9902,7187,10778,1520,46187,3529,9079,36813,46364
2017-02-01,71416,8788,4379,11213,268993,312,3834,16851,40022,33169,75905,1704,1625,1799,5320,72654,508,85058,908,9783,6971,6928,1522,51160,3625,9867,38502,54456
2017-03-01,85040,10218,7835,11493,264711,390,3101,14751,43618,33561,85299,8000,1738,1633,5470,82293,703,105372,864,12656,6755,8459,2050,61816,3866,8197,47025,58635
2017-04-01,93927,8949,4662,7684,252135,342,2492,15681,30420,53971,109303,922,1731,1698,5450,46245,436,94550,1221,19610,6641,12447,1434,81952,4391,11697,58504,48170
2017-05-01,71970,9548,4645,7617,232361,260,1596,12333,17427,33784,172822,1115,1476,1627,4337,54012,314,90335,619,11705,5842,10261,1383,77671,3244,6683,47074,30066
2017-06-01,84840,9972,5758,6217,218118,191,1885,9643,16274,32684,136478,1607,1545,1171,4048,52932,576,102776,539,12144,4859,11805,1421,62002,3305,5201,34623,27974
2017-07-01,104873,11416,5625,7924,349654,368,1618,18255,21206,54124,97125,1423,2229,1807,6984,63193,1604,87138,1205,12619,10462,15358,4160,58727,6321,10967,48620,38424
2017-08-01,75171,9652,4610,7808,357287,373,1294,23815,26590,55265,91551,1724,1815,1610,19114,94900,2124,91135,998,10934,10254,11197,2159,53539,11064,8432,40993,43467
2017-09-01,100987,11277,5387,5999,226978,339,2076,11584,24858,31937,102262,2840,1657,1528,6568,69742,555,90837,639,9888,6902,12021,1968,52500,6101,7272,39692,42423
2017-10-01,90940,9555,4202,7388,245755,403,2940,14082,27617,32964,120100,1423,1807,2051,5280,64624,343,96015,765,11616,7147,11834,1552,60194,5534,9833,61448,41920
2017-11-01,81822,9023,5258,10203,251096,388,3170,14210,28423,33174,86432,1402,1753,1566,6425,75348,422,105404,2328,11402,7387,9349,1816,64826,5615,9023,39331,45133
2017-12-01,105085,12479,10761,10443,244241,382,3392,11852,28863,36712,114738,1304,1525,1571,5201,63553,726,135260,2174,13462,6504,10801,2521,65926,4041,8508,38710,42007
2018-01-01,114846,11716,6076,13482,291208,419,4558,15788,38733,29758,108067,1673,1980,2118,9760,64087,1173,86833,1041,9883,7680,11914,2071,45184,4664,9137,38143,51537
2018-02-01,63229,9397,5105,13438,366616,265,4780,18539,36701,36433,81797,1777,1737,2138,8919,68191,566,85212,1006,9594,7699,6311,1302,45279,4399,9607,34566,57901
2018-03-01,87152,11243,8171,14317,274879,466,3963,17579,36973,41979,105560,4963,2232,2115,7967,83064,624,109897,749,13797,7772,8005,2382,62876,5684,9691,47744,68106
2018-04-01,99046,10084,5766,10655,291119,427,2203,18647,26640,41414,122229,937,1841,1775,6599,50253,511,98351,1337,16422,7996,11412,1893,79128,4483,9584,61015,54566
2018-05-01,78210,9341,5250,9354,264802,271,1379,15071,20136,36379,196072,551,1514,1288,5299,53474,280,91244,721,12274,6932,10907,1492,83657,3770,6849,49858,33852
2018-06-01,90665,11161,5897,6964,242118,240,1876,10706,17397,38115,154945,822,1741,1426,4997,53413,751,113049,659,12008,5647,13120,2550,68932,3811,5025,38113,30952
2018-07-01,108107,10784,5769,9182,361019,423,1835,21991,25215,52507,117798,923,2515,1756,7779,68146,1634,94611,1240,13189,11596,16705,3833,64757,7079,10670,53379,44778
2018-08-01,83185,11010,5168,9887,380108,368,1156,28097,29525,56484,100744,874,2069,1931,22950,100491,2347,103490,956,10759,12488,12669,2519,63556,11978,8406,40452,51036
2018-09-01,107933,10074,6133,7669,239824,372,2021,13550,28000,35588,102251,551,1762,2379,7349,77013,385,106880,746,10211,7998,13767,1808,57241,6652,7084,40580,53207
2018-10-01,95096,11206,5017,8923,247664,393,2867,15717,28808,34865,114000,233,1842,2073,5777,74019,370,103676,915,12874,7839,12404,1643,68218,5138,9085,65734,48279
2018-11-01,74827,9001,6118,12031,220053,289,2585,16162,29465,32620,121319,342,1862,1704,5973,73787,375,117793,1894,11846,7686,8603,1464,66526,5173,8447,38796,48748
2018-12-01,104928,11297,10490,13614,238194,435,3357,12922,39214,36982,117495,292,1582,1682,8637,63738,778,142986,2835,12753,6999,11860,2373,72787,4053,8809,37270,46047
