"date","china","india","malaysia","australia","philippines","japan","united_kingdom","thailand","germany","hong_kong_sar_china"
2017-01-01,316805,80062,84504,115930,46187,53377,46364,36813,37068,34436
2017-02-01,268993,75905,85058,71416,51160,72654,54456,38502,40022,33169
2017-03-01,264711,85299,105372,85040,61816,82293,58635,47025,43618,33561
2017-04-01,252135,109303,94550,93927,81952,46245,48170,58504,30420,53971
2017-05-01,232361,172822,90335,71970,77671,54012,30066,47074,17427,33784
2017-06-01,218118,136478,102776,84840,62002,52932,27974,34623,16274,32684
2017-07-01,349654,97125,87138,104873,58727,63193,38424,48620,21206,54124
2017-08-01,357287,91551,91135,75171,53539,94900,43467,40993,26590,55265
2017-09-01,226978,102262,90837,100987,52500,69742,42423,39692,24858,31937
2017-10-01,245755,120100,96015,90940,60194,64624,41920,61448,27617,32964
2017-11-01,251096,86432,105404,81822,64826,75348,45133,39331,28423,33174
2017-12-01,244241,114738,135260,105085,65926,63553,42007,38710,28863,36712
2018-01-01,291208,108067,86833,114846,45184,64087,51537,38143,38733,29758
2018-02-01,366616,81797,85212,63229,45279,68191,57901,34566,36701,36433
2018-03-01,274879,105560,109897,87152,62876,83064,68106,47744,36973,41979
2018-04-01,291119,122229,98351,99046,79128,50253,54566,61015,26640,41414
2018-05-01,264802,196072,91244,78210,83657,53474,33852,49858,20136,36379
2018-06-01,242118,154945,113049,90665,68932,53413,30952,38113,17397,38115
2018-07-01,361019,117798,94611,108107,64757,68146,44778,53379,25215,52507
2018-08-01,380108,100744,103490,83185,63556,100491,51036,40452,29525,56484
2018-09-01,239824,102251,106880,107933,57241,77013,53207,40580,28000,35588
2018-10-01,247664,114000,103676,95096,68218,74019,48279,65734,28808,34865
2018-11-01,220053,121319,117793,74827,66526,73787,48748,38796,29465,32620
2018-12-01,238194,117495,142986,104928,72787,63738,46047,37270,39214,36982
2019-01-01,320581,104562,88293,122672,49245,66402,59288,34822,46784,30056
2019-02-01,339550,88926,88706,66199,52211,69885,62481,33685,41522,38921
2019-03-01,300209,106506,106200,73841,59383,84048,66796,45072,44963,34355
2019-04-01,302098,120225,95076,107503,83453,65212,56004,57010,33428,52206
