date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2016-12-01,3.21434604,79.61206621,1569.69727502,25748.45233567,3.42985924,1506134,226020,2016,12,4,pre_covid,0.15006632875959244,15.006632875959244,3.21434604,1.506134,226.02,0.7629727995952658,-0.20300583414890885,0.2149550771338822,-0.544640929858071,medium,medium,train
2017-01-01,3.51735288,81.76737245,NA,NA,NA,1480479,316805,2017,1,1,pre_covid,0.2139881754486217,21.39881754486217,3.51735288,1.480479,316.805,0.7209184472336083,0.3291853633548724,0.38545957282019305,-0.5137544123023888,medium,medium,train
2017-02-01,3.42351625,88.02774566,NA,NA,NA,1361010,268993,2017,2,1,pre_covid,0.19764219219550186,19.764219219550185,3.42351625,1.36101,268.993,0.525081712784384,0.19309435765888677,0.8807125244281927,-0.5233194990834695,high,high,train
2017-03-01,3.15055147,84.67200801,NA,6724.5678785,NA,1480161,264711,2017,3,1,pre_covid,0.17883932896488963,17.883932896488965,3.15055147,1.480161,264.711,0.7203971732499402,0.036548218623188876,0.615242891830268,-0.5511437273073372,high,medium,train
2017-04-01,3.28076748,85.06826334,NA,NA,NA,1470750,252135,2017,4,2,pre_covid,0.1714329423763386,17.14329423763386,3.28076748,1.47075,252.135,0.7049704139408169,-0.025114795696661904,0.6465903235551737,-0.5378703666172092,high,high,train
2017-05-01,3.54908271,82.27882297,NA,NA,NA,1363897,232361,2017,5,2,pre_covid,0.17036550413997537,17.036550413997535,3.54908271,1.363897,232.361,0.529814159296491,-0.034001917435104646,0.4259200008385803,-0.5105200828353251,medium,medium,train
2017-06-01,3.627402,83.7548828,NA,13404.76334795,NA,1387601,218118,2017,6,2,pre_covid,0.15719071981066604,15.719071981066604,3.627402,1.387601,218.118,0.5686703810224987,-0.14369061718714965,0.5426898743007261,-0.5025367312861206,medium,medium,train
2017-07-01,3.50191372,91.53710721,NA,NA,NA,1632135,349654,2017,7,3,pre_covid,0.2142310531910657,21.42310531910657,3.50191372,1.632135,349.654,0.9695169606524164,0.3312074794746883,1.158335216813513,-0.5153281783810192,high,high,train
2017-08-01,3.53168791,89.35634524,NA,NA,NA,1559283,357287,2017,8,3,pre_covid,0.22913544237960654,22.913544237960654,3.53168791,1.559283,357.287,0.8500960416014919,0.45529627135362044,0.9858169393613322,-0.5122931939491785,high,high,train
2017-09-01,3.3320192,84.33686469,NA,20345.77697974,NA,1320050,226978,2017,9,3,pre_covid,0.17194651717737963,17.194651717737962,3.3320192,1.32005,226.978,0.45793900092574086,-0.020838949447984922,0.5887299807187427,-0.5326461045195652,high,medium,train
